userid,role,userinfo,phone
1,player,"{""name"":""Alice Player"",""preferences"":{""sports"":[""soccer"",""tennis""]}}","+15550100001"
2,coach,"{""name"":""Bob Coach"",""preferences"":{""sports"":[""basketball"",""running""]}}","+15550100002"
3,organizer,"{""name"":""Carol Organizer"",""preferences"":{""sports"":[""volleyball""]}}","+15550100003"
4,courtowner,"{""name"":""David CourtOwner"",""preferences"":{""sports"":[""pickleball"",""badminton""]}}","+15550100004"
5,player,"{""name"":""Eve Player"",""preferences"":{""sports"":[""swimming"",""cycling""]}}","+15550100005"
6,coach,"{""name"":""Frank Coach"",""preferences"":{""sports"":[""soccer"",""basketball""]}}","+15550100006"
7,organizer,"{""name"":""Grace Organizer"",""preferences"":{""sports"":[""tennis""]}}","+15550100007"
8,courtowner,"{""name"":""Hank CourtOwner"",""preferences"":{""sports"":[""pickleball"",""tennis""]}}","+15550100008"
9,player,"{""name"":""Ivy Player"",""preferences"":{""sports"":[""volleyball"",""running""]}}","+15550100009"
10,coach,"{""name"":""Jack Coach"",""preferences"":{""sports"":[""basketball"",""swimming""]}}","+15550100010"
11,organizer,"{""name"":""Kate Organizer"",""preferences"":{""sports"":[""cycling""]}}","+15550100011"
12,courtowner,"{""name"":""Leo CourtOwner"",""preferences"":{""sports"":[""badminton""]}}","+15550100012"
13,player,"{""name"":""Mia Player"",""preferences"":{""sports"":[""soccer"",""volleyball""]}}","+15550100013"
14,coach,"{""name"":""Nate Coach"",""preferences"":{""sports"":[""running"",""basketball""]}}","+15550100014"
15,organizer,"{""name"":""Olivia Organizer"",""preferences"":{""sports"":[""swimming""]}}","+15550100015"
16,courtowner,"{""name"":""Paul CourtOwner"",""preferences"":{""sports"":[""pickleball""]}}","+15550100016"
17,player,"{""name"":""Quinn Player"",""preferences"":{""sports"":[""cycling"",""tennis""]}}","+15550100017"
18,coach,"{""name"":""Rita Coach"",""preferences"":{""sports"":[""basketball""]}}","+15550100018"
19,organizer,"{""name"":""Sam Organizer"",""preferences"":{""sports"":[""running""]}}","+15550100019"
20,courtowner,"{""name"":""Tina CourtOwner"",""preferences"":{""sports"":[""badminton"",""pickleball""]}}","+15550100020"
